Epoch,Accuracy,Val_accuracy
0,0.8576081395149231,0.6479039788246155
1,0.8859127759933472,0.6641311645507812
2,0.9043285846710205,0.6741041541099548
3,0.9175927042961121,0.6670047044754028
4,0.9298699498176575,0.6742731332778931
5,0.9356729984283447,0.6717376708984375
6,0.9428182244300842,0.6688640713691711
7,0.9493910670280457,0.6717376708984375
8,0.95383220911026,0.6781609058380127
9,0.9601089358329773,0.6676808595657349
10,0.9633262753486633,0.6872887015342712
11,0.9673726558685303,0.6747802495956421
12,0.9698596596717834,0.6818796396255493
13,0.9728598594665527,0.6675118207931519
14,0.9748337268829346,0.6835699677467346
15,0.978445827960968,0.6776538491249084
16,0.9779129028320312,0.6761325001716614
17,0.981406569480896,0.6746112108230591
18,0.981465756893158,0.6702163815498352
19,0.9831435084342957,0.685936450958252
20,0.9854134321212769,0.686274528503418
21,0.9842488765716553,0.6751183271408081
22,0.9867556095123291,0.6871196627616882
23,0.986183226108551,0.6866125464439392
24,0.987328052520752,0.6840770840644836
25,0.9881767630577087,0.6817106008529663
